###############################################################################
## t01C_WTD
###############################################################################
8.799999999999997 8.200000000000003 (1,0)
8.799999999999997 8.099999999999994 (1,30)
8.5 0.3999999999999915 (1,60)
8.5 0.3999999999999915 (1,90)
8.299999999999997 8.100000000000009 (1,120)
8.299999999999997 8.099999999999994 (1,150)
8.400000000000006 8.099999999999994 (1,180)
8.400000000000006 8.0 (1,210)
8.200000000000003 7.5 (1,240)
8.200000000000003 7.3999999999999915 (1,270)
8.299999999999997 0.4900000000000091 (1,300)
8.299999999999997 0.4900000000000091 (1,330)
9.0 7.200000000000003 (1,360)
8.0 7.299999999999997 (1,390)
8.0 1.0 (1,420)
7.790000000000006 1.0 (1,450)
7.790000000000006 7.0 (1,480)
7.700000000000003 6.8999999999999915 (1,510)
7.700000000000003 7.200000000000003 (1,540)
7.8999999999999915 7.200000000000003 (1,570)
7.8999999999999915 7.200000000000003 (1,600)
7.8999999999999915 7.099999999999994 (1,630)
7.8999999999999915 7.400000000000006 (1,660)
7.799999999999997 7.400000000000006 (1,690)
7.799999999999997 7.400000000000006 (1,720)
7.799999999999997 7.5 (1,750)
7.799999999999997 7.300000000000011 (1,780)
8.0 7.400000000000006 (1,810)
8.0 7.200000000000003 (1,840)
8.200000000000003 7.5 (1,870)
8.0 7.6000000000000085 (1,900)
8.0 7.299999999999997 (1,930)
8.299999999999997 7.5 (1,960)
8.299999999999997 7.5 (1,990)
8.0 7.5 (1,1020)
8.0 7.400000000000006 (1,1050)
8.099999999999994 7.699999999999989 (1,1080)
8.099999999999994 7.5 (1,1110)
8.0 7.5 (1,1140)
8.0 7.3999999999999915 (1,1170)
8.0 7.3999999999999915 (1,1200)
8.0 7.3999999999999915 (1,1230)
7.700000000000003 7.299999999999997 (1,1260)
7.700000000000003 7.3999999999999915 (1,1290)
8.5 7.099999999999994 (1,1320)
8.5 7.1000000000000085 (1,1350)
8.209999999999994 7.400000000000006 (1,1380)
8.0 7.5 (1,1410)
8.0 7.5 (1,1440)
7.890000000000001 7.3999999999999915 (1,1470)
7.890000000000001 7.599999999999994 (1,1500)
7.8999999999999915 7.400000000000006 (1,1530)
7.8999999999999915 7.200000000000003 (1,1560)
7.599999999999994 7.299999999999997 (1,1590)
7.599999999999994 7.400000000000006 (1,1620)
7.689999999999998 7.0 (1,1650)
7.689999999999998 7.099999999999994 (1,1680)
7.3999999999999915 7.0 (1,1710)
8.200000000000003 6.900000000000006 (1,1740)
8.200000000000003 7.199999999999989 (1,1770)
8.0 7.599999999999994 (1,1800)
8.0 7.5 (1,1830)
8.0 7.0 (1,1860)
7.599999999999994 6.400000000000006 (1,1890)
6.799999999999997 6.599999999999994 (1,1920)
6.799999999999997 6.700000000000003 (1,1950)
7.3999999999999915 6.3999999999999915 (1,1980)
7.3999999999999915 6.799999999999997 (1,2010)
7.390000000000001 6.5 (1,2040)
7.390000000000001 6.599999999999994 (1,2070)
7.709999999999994 6.599999999999994 (1,2100)
7.709999999999994 6.599999999999994 (1,2130)
7.700000000000003 6.799999999999997 (1,2160)
7.200000000000003 6.799999999999997 (1,2190)
7.200000000000003 6.6000000000000085 (1,2220)
7.599999999999994 6.599999999999994 (1,2250)
7.599999999999994 7.299999999999997 (1,2280)
8.200000000000003 7.099999999999994 (1,2310)
