###############################################################################
## t01Loads
###############################################################################
66.0 69.0 (2,2460)
66.0 67.0 (2,2490)
66.0 68.0 (2,2520)
66.0 66.0 (2,2550)
65.0 66.0 (2,2580)
65.0 64.0 (2,2610)
65.0 66.0 (2,2640)
65.0 66.0 (2,2670)
65.0 66.0 (2,2700)
65.0 68.0 (2,2730)
65.0 71.0 (2,2760)
65.0 71.0 (2,2790)
66.0 71.0 (2,2820)
66.0 70.0 (2,2850)
66.0 69.0 (2,2880)
66.0 66.0 (2,2910)
66.0 66.0 (2,2940)
67.0 64.0 (2,2970)
67.0 64.0 (2,3000)
67.0 66.0 (2,3030)
68.0 69.0 (2,3060)
68.0 69.0 (2,3090)
66.0 68.0 (2,3120)
66.0 66.0 (2,3150)
###############################################################################
## t03Loads
###############################################################################
65.0 65.0 (3,0)
65.0 65.0 (3,30)
65.0 65.0 (3,60)
65.0 67.0 (3,90)
65.0 66.0 (3,120)
65.0 66.0 (3,150)
65.0 67.0 (3,180)
66.0 67.0 (3,210)
66.0 68.0 (3,240)
66.0 67.0 (3,270)
65.0 67.0 (3,300)
65.0 68.0 (3,330)
65.0 68.0 (3,360)
65.0 67.0 (3,390)
65.0 67.0 (3,420)
65.0 67.0 (3,450)
66.0 68.0 (3,480)
66.0 67.0 (3,510)
66.0 65.0 (3,540)
66.0 65.0 (3,570)
66.0 65.0 (3,600)
66.0 63.0 (3,630)
66.0 63.0 (3,660)
66.0 63.0 (3,690)
65.0 63.0 (3,720)
65.0 63.0 (3,750)
64.0 64.0 (3,780)
64.0 65.0 (3,810)
64.0 64.0 (3,840)
63.0 64.0 (3,870)
63.0 64.0 (3,900)
64.0 64.0 (3,930)
64.0 67.0 (3,960)
64.0 68.0 (3,990)
64.0 66.0 (3,1020)
63.0 65.0 (3,1050)
63.0 65.0 (3,1080)
63.0 64.0 (3,1110)
63.0 64.0 (3,1140)
63.0 66.0 (3,1170)
63.0 64.0 (3,1200)
64.0 65.0 (3,1230)
