0 5
30 5
60 7
90 0
120 4
150 0
180 0
210 8
240 8
270 9
300 0
330 0
360 0
390 0
420 0
450 4
480 6
510 8
540 10
570 10
600 10
630 8
660 8
690 8
720 0
750 4
780 7
810 5
840 5
870 5
900 5
930 5
960 5
990 4
1020 4
1050 7
1080 7
1110 7
1140 3
1170 7
1200 7
1230 0
1260 0
1290 6
1320 6
1350 6
1380 9
1410 9
1440 4
1470 0
1500 4
1530 6
1560 6
1590 4
1620 4
1650 10
1680 4
1710 6
1740 9
1770 6
1800 0
1830 4
1860 4
1890 4
1920 4
1950 4
1980 4
2010 4
2040 4
2070 0
2100 4
2130 6
2160 4
2190 5
2220 7
2250 0
2280 7
2310 5
2340 5
2370 5
2400 5
2430 5
2460 5
2490 5
2520 4
2550 4
2580 8
2610 8
2640 6
2670 6
2700 8
2730 9
2760 0
2790 4
2820 4
2850 10
2880 3
2910 10
2940 0
2970 9
3000 9
3030 4
3060 4
3090 4
3120 0
3150 4
