0 2
30 2
60 2
90 1
120 1
150 2
180 2
210 2
240 2
270 1
300 2
330 1
360 1
390 1
420 3
450 1
480 1
510 1
540 1
570 2
600 2
630 1
660 1
690 1
720 1
750 1
780 1
810 3
840 3
870 1
900 1
930 1
960 3
990 1
1020 1
1050 3
1080 1
1110 2
1140 3
1170 1
1200 3
1230 1
1260 1
1290 1
1320 1
1350 1
1380 1
1410 1
1440 3
1470 1
1500 1
1530 3
1560 3
1590 1
1620 3
1650 1
1680 1
1710 1
1740 1
1770 1
1800 2
1830 1
1860 1
1890 1
1920 2
1950 1
1980 1
2010 2
2040 1
2070 2
2100 2
2130 2
2160 2
2190 5
2220 5
2250 5
2280 5
2310 5
2340 5
2370 1
2400 5
2430 5
2460 5
2490 2
2520 2
2550 1
2580 1
2610 1
2640 1
2670 1
2700 3
2730 2
2760 2
2790 2
2820 2
2850 2
2880 2
2910 1
2940 1
2970 1
3000 1
3030 1
3060 2
3090 2
3120 2
3150 1
