0 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
10 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
20 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
30 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
40 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
50 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
60 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
70 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
80 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
90 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
100 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
110 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
120 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
130 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
140 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
150 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
160 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
170 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
180 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
190 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
200 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
210 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
220 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
230 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
240 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
250 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
260 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
270 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
280 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
290 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
300 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
310 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
320 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
330 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
340 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
350 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
360 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
370 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
380 421.94 146.70 284.33 292.65 430.46 473.45 524.77 475.64 435.29 150.64 294.22 302.89 441.19 484.57 537.84 489.98 442.16 152.35 298.47 307.30 445.75 489.43 543.53 496.12
