0 74.00 0.00 0.00 77.00 0.00 66.00 0.00 0.00 67.00 0.00 65.00 0.00 0.00 65.00 0.00
30 74.00 0.00 0.00 77.00 0.00 66.00 0.00 0.00 67.00 0.00 65.00 0.00 0.00 65.00 0.00
60 73.00 0.00 0.00 76.00 0.00 65.00 0.00 0.00 68.00 0.00 65.00 0.00 0.00 65.00 0.00
90 73.00 0.00 0.00 75.00 0.00 65.00 0.00 0.00 67.00 0.00 65.00 0.00 0.00 67.00 0.00
120 72.00 0.00 0.00 73.00 0.00 65.00 0.00 0.00 68.00 0.00 65.00 0.00 0.00 66.00 0.00
150 72.00 0.00 0.00 72.00 0.00 65.00 0.00 0.00 67.00 0.00 65.00 0.00 0.00 66.00 0.00
180 72.00 0.00 0.00 72.00 0.00 65.00 0.00 0.00 67.00 0.00 65.00 0.00 0.00 67.00 0.00
210 72.00 0.00 0.00 73.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 67.00 0.00
240 70.00 0.00 0.00 71.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 68.00 0.00
270 70.00 0.00 0.00 69.00 0.00 66.00 0.00 0.00 67.00 0.00 66.00 0.00 0.00 67.00 0.00
300 70.00 0.00 0.00 70.00 0.00 66.00 0.00 0.00 68.00 0.00 65.00 0.00 0.00 67.00 0.00
330 70.00 0.00 0.00 70.00 0.00 65.00 0.00 0.00 66.00 0.00 65.00 0.00 0.00 68.00 0.00
360 69.00 0.00 0.00 71.00 0.00 65.00 0.00 0.00 65.00 0.00 65.00 0.00 0.00 68.00 0.00
390 68.00 0.00 0.00 70.00 0.00 66.00 0.00 0.00 65.00 0.00 65.00 0.00 0.00 67.00 0.00
420 68.00 0.00 0.00 66.00 0.00 66.00 0.00 0.00 65.00 0.00 65.00 0.00 0.00 67.00 0.00
450 68.00 0.00 0.00 67.00 0.00 66.00 0.00 0.00 67.00 0.00 65.00 0.00 0.00 67.00 0.00
480 68.00 0.00 0.00 67.00 0.00 66.00 0.00 0.00 67.00 0.00 66.00 0.00 0.00 68.00 0.00
510 67.00 0.00 0.00 67.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 67.00 0.00
540 67.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 65.00 0.00
570 67.00 0.00 0.00 69.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 65.00 0.00
600 67.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 65.00 0.00
630 68.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 63.00 0.00
660 68.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 63.00 0.00
690 68.00 0.00 0.00 68.00 0.00 66.00 0.00 0.00 67.00 0.00 66.00 0.00 0.00 63.00 0.00
720 68.00 0.00 0.00 70.00 0.00 66.00 0.00 0.00 65.00 0.00 65.00 0.00 0.00 63.00 0.00
750 69.00 0.00 0.00 70.00 0.00 66.00 0.00 0.00 65.00 0.00 65.00 0.00 0.00 63.00 0.00
780 69.00 0.00 0.00 71.00 0.00 65.00 0.00 0.00 64.00 0.00 64.00 0.00 0.00 64.00 0.00
810 69.00 0.00 0.00 69.00 0.00 65.00 0.00 0.00 64.00 0.00 64.00 0.00 0.00 65.00 0.00
840 69.00 0.00 0.00 70.00 0.00 64.00 0.00 0.00 64.00 0.00 64.00 0.00 0.00 64.00 0.00
870 70.00 0.00 0.00 71.00 0.00 64.00 0.00 0.00 65.00 0.00 63.00 0.00 0.00 64.00 0.00
900 70.00 0.00 0.00 70.00 0.00 65.00 0.00 0.00 65.00 0.00 63.00 0.00 0.00 64.00 0.00
930 70.00 0.00 0.00 71.00 0.00 65.00 0.00 0.00 66.00 0.00 64.00 0.00 0.00 64.00 0.00
960 70.00 0.00 0.00 70.00 0.00 65.00 0.00 0.00 65.00 0.00 64.00 0.00 0.00 67.00 0.00
990 70.00 0.00 0.00 70.00 0.00 65.00 0.00 0.00 66.00 0.00 64.00 0.00 0.00 68.00 0.00
1020 69.00 0.00 0.00 72.00 0.00 65.00 0.00 0.00 66.00 0.00 64.00 0.00 0.00 66.00 0.00
1050 69.00 0.00 0.00 71.00 0.00 65.00 0.00 0.00 66.00 0.00 63.00 0.00 0.00 65.00 0.00
1080 69.00 0.00 0.00 72.00 0.00 65.00 0.00 0.00 67.00 0.00 63.00 0.00 0.00 65.00 0.00
1110 69.00 0.00 0.00 72.00 0.00 65.00 0.00 0.00 67.00 0.00 63.00 0.00 0.00 64.00 0.00
1140 69.00 0.00 0.00 72.00 0.00 65.00 0.00 0.00 66.00 0.00 63.00 0.00 0.00 64.00 0.00
1170 69.00 0.00 0.00 72.00 0.00 66.00 0.00 0.00 66.00 0.00 63.00 0.00 0.00 66.00 0.00
1200 68.00 0.00 0.00 72.00 0.00 66.00 0.00 0.00 65.00 0.00 63.00 0.00 0.00 64.00 0.00
1230 68.00 0.00 0.00 71.00 0.00 66.00 0.00 0.00 65.00 0.00 64.00 0.00 0.00 65.00 0.00
1260 68.00 0.00 0.00 70.00 0.00 66.00 0.00 0.00 65.00 0.00 64.00 0.00 0.00 64.00 0.00
1290 68.00 0.00 0.00 69.00 0.00 67.00 0.00 0.00 66.00 0.00 64.00 0.00 0.00 67.00 0.00
1320 67.00 0.00 0.00 70.00 0.00 67.00 0.00 0.00 67.00 0.00 64.00 0.00 0.00 66.00 0.00
1350 67.00 0.00 0.00 67.00 0.00 67.00 0.00 0.00 67.00 0.00 64.00 0.00 0.00 66.00 0.00
1380 66.00 0.00 0.00 67.00 0.00 66.00 0.00 0.00 65.00 0.00 65.00 0.00 0.00 64.00 0.00
1410 65.00 0.00 0.00 66.00 0.00 66.00 0.00 0.00 65.00 0.00 65.00 0.00 0.00 67.00 0.00
1440 65.00 0.00 0.00 66.00 0.00 66.00 0.00 0.00 64.00 0.00 64.00 0.00 0.00 67.00 0.00
