###############################################################################
## t01COP
###############################################################################
0.3962167689161554 0.40261407398762983 0.31213983864771416 (1,0)
0.3962167689161554 0.40261407398762983 0.31213983864771416 (1,30)
0.4026073619631902 0.40261407398762983 0.3267336389349459 (1,60)
0.4026073619631902 0.40261407398762983 0.33215903371917466 (1,90)
0.3962167689161554 0.40852575488454707 0.3231175952217762 (1,120)
0.3962167689161554 0.40852575488454707 0.32547971824143795 (1,150)
0.3962167689161554 0.40260509177027826 0.32062181199902845 (1,180)
0.3962167689161554 0.40260509177027826 0.31574415155719276 (1,210)
0.4026073619631902 0.40260509177027826 0.3109601492608716 (1,240)
0.4026073619631902 0.40260509177027826 0.3231175952217762 (1,270)
0.40899795501022496 0.40852575488454707 0.3231175952217762 (1,300)
0.40899795501022496 0.40852575488454707 0.3157249893972951 (1,330)
0.40262636273538155 0.40852575488454707 0.3181084417434242 (1,360)
0.40262636273538155 0.40852575488454707 0.319095591922323 (1,390)
0.39643211100099107 0.396779087408099 0.30997857501025666 (1,420)
0.3902378592666006 0.396779087408099 0.3276042161238249 (1,450)
0.3902378592666006 0.396779087408099 0.33009615844615603 (1,480)
0.3902378592666006 0.396779087408099 0.3168685927306617 (1,510)
###############################################################################
## t02COP
###############################################################################
0.3902378592666006 0.396779087408099 0.31805425631431244 (2,0)
0.39643211100099107 0.40261407398762983 0.3227315247895229 (2,30)
0.39643211100099107 0.40261407398762983 0.3203491341287897 (2,60)
0.4026073619631902 0.40261407398762983 0.32142529157865735 (2,90)
0.4026073619631902 0.40261407398762983 0.32514961594646813 (2,120)
0.4026073619631902 0.396779087408099 0.32421969513670457 (2,150)
0.4026073619631902 0.396779087408099 0.31570639305445936 (2,180)
0.4026073619631902 0.40852575488454707 0.3267336389349459 (2,210)
0.4026073619631902 0.40852575488454707 0.32197344957400437 (2,240)
0.40899795501022496 0.40852575488454707 0.32323835098712017 (2,270)
0.40899795501022496 0.40852575488454707 0.3295221928204104 (2,300)
0.40899795501022496 0.40260509177027826 0.32801331636150005 (2,330)
0.40899795501022496 0.40260509177027826 0.3157249893972951 (2,360)
0.4026073619631902 0.40852575488454707 0.3169047393813263 (2,390)
0.4026073619631902 0.40852575488454707 0.3267336389349459 (2,420)
0.4026073619631902 0.3848431024274719 0.3181084417434242 (2,450)
0.4026073619631902 0.3848431024274719 0.3181084417434242 (2,480)
0.40899795501022496 0.3965107057890563 0.3326263015811801 (2,510)
###############################################################################
## t03COP
###############################################################################
0.4026073619631902 0.4026108704935033 0.32249273255813954 (3,0)
0.4026073619631902 0.3965107057890563 0.328414820296961 (3,30)
0.4026073619631902 0.3965107057890563 0.3202635311341904 (3,60)
0.40899795501022496 0.4087110351979503 0.32052815385351385 (3,90)
0.40899795501022496 0.4087110351979503 0.3168685927306617 (3,120)
0.40261701056869653 0.4087110351979503 0.32905879506411806 (3,150)
0.40261701056869653 0.4087110351979503 0.31805425631431244 (3,180)
0.40261701056869653 0.4026108704935033 0.31916369859845506 (3,210)
0.40261701056869653 0.4026108704935033 0.3278056305437717 (3,240)
0.39632611977856064 0.4026108704935033 0.3278056305437717 (3,270)
0.39632611977856064 0.4026108704935033 0.32163466086462966 (3,300)
0.39632611977856064 0.3965107057890563 0.3181084417434242 (3,330)
0.39632611977856064 0.3965107057890563 0.31570639305445936 (3,360)
0.40261701056869653 0.4026108704935033 0.3110636519801291 (3,390)
0.40261701056869653 0.4026108704935033 0.31930610494209594 (3,420)
0.40261701056869653 0.4087110351979503 0.33290903750122397 (3,450)
0.39632611977856064 0.4087110351979503 0.33290903750122397 (3,480)
0.39632611977856064 0.4087110351979503 0.32692688725975827 (3,510)
