###############################################################################
## t01KW
###############################################################################
168.9 213.01 (2,2460)
163.93 211.42 (2,2490)
163.93 213.8 (2,2520)
163.93 209.03 (2,2550)
163.93 209.03 (2,2580)
163.93 202.67 (2,2610)
163.93 203.47 (2,2640)
163.93 207.44 (2,2670)
163.93 201.09 (2,2700)
163.93 211.42 (2,2730)
163.93 217.78 (2,2760)
163.93 217.78 (2,2790)
163.93 224.93 (2,2820)
163.93 216.19 (2,2850)
163.93 213.01 (2,2880)
163.93 203.47 (2,2910)
163.93 208.24 (2,2940)
163.93 202.67 (2,2970)
163.93 202.67 (2,3000)
163.93 204.26 (2,3030)
163.93 213.01 (2,3060)
163.93 210.62 (2,3090)
166.41 216.19 (2,3120)
166.41 207.44 (2,3150)
###############################################################################
## t03KW
###############################################################################
166.41 205.06 (3,0)
166.41 202.67 (3,30)
166.41 198.7 (3,60)
161.44 204.26 (3,90)
161.44 207.44 (3,120)
161.44 200.29 (3,150)
161.44 204.26 (3,180)
161.44 205.85 (3,210)
161.44 208.24 (3,240)
161.44 212.21 (3,270)
161.44 204.26 (3,300)
161.44 206.65 (3,330)
161.44 209.03 (3,360)
161.44 205.06 (3,390)
161.44 205.06 (3,420)
161.44 209.03 (3,450)
161.44 205.06 (3,480)
161.44 208.24 (3,510)
161.44 209.03 (3,540)
161.44 209.03 (3,570)
161.44 209.03 (3,600)
161.44 195.52 (3,630)
161.44 195.52 (3,660)
161.44 193.14 (3,690)
161.44 193.14 (3,720)
161.44 198.7 (3,750)
161.44 194.73 (3,780)
161.44 205.06 (3,810)
161.44 203.47 (3,840)
161.44 201.88 (3,870)
161.44 202.67 (3,900)
161.44 202.67 (3,930)
161.44 213.8 (3,960)
158.96 213.01 (3,990)
158.96 208.24 (3,1020)
158.96 199.5 (3,1050)
158.96 199.5 (3,1080)
158.96 198.7 (3,1110)
158.96 205.85 (3,1140)
158.96 201.09 (3,1170)
158.96 195.52 (3,1200)
158.96 197.91 (3,1230)
158.96 197.91 (3,1260)
158.96 195.52 (3,1290)
158.96 194.73 (3,1320)
158.96 197.91 (3,1350)
158.96 201.88 (3,1380)
158.96 212.21 (3,1410)
158.96 212.21 (3,1440)
158.96 203.47 (3,1470)
158.96 209.03 (3,1500)
158.96 200.29 (3,1530)
