saved	value	chk	units	metric	label	combined	start_time	end_time	result_id	datacenter|chiller
1	69.5			Chiller ECWT 		0	2011-05-05 13:56:14.730		239226	EMSL|Chiller1
1	68.2			Chiller ECWT 		0	2011-05-05 13:39:44.740		236421	EMSL|Chiller1
1	69			Chiller ECWT 		0	2011-05-05 14:02:14.747		240246	EMSL|Chiller1
1	69.7			Chiller ECWT 		0	2011-05-05 14:04:14.727		240637	EMSL|Chiller4
1	69			Chiller ECWT 		0	2011-05-05 13:41:44.733		236761	EMSL|Chiller1
1	68.2			Chiller ECWT 		0	2011-05-05 13:40:44.740		236591	EMSL|Chiller1
1	70			Chiller ECWT 		0	2011-05-05 13:58:14.740		239617	EMSL|Chiller4
1	70			Chiller ECWT 		0	2011-05-05 13:57:14.737		239447	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 13:43:44.727		237118	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 13:41:14.723		236727	EMSL|Chiller4
1	69.8			Chiller ECWT 		0	2011-05-05 13:49:44.730		238172	EMSL|Chiller4
1	69.5			Chiller ECWT 		0	2011-05-05 13:57:14.737		239413	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 14:02:44.727		240348	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 13:51:44.730		238478	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 14:04:14.727		240586	EMSL|Chiller1
1	69.2			Chiller ECWT 		0	2011-05-05 13:42:14.733		236863	EMSL|Chiller2
1	69.9			Chiller ECWT 		0	2011-05-05 13:44:44.730		237322	EMSL|Chiller4
1	70.3			Chiller ECWT 		0	2011-05-05 13:45:44.750		237441	EMSL|Chiller1
1	69.7			Chiller ECWT 		0	2011-05-05 14:04:44.743		240722	EMSL|Chiller4
1	69.5			Chiller ECWT 		0	2011-05-05 13:59:44.737		239821	EMSL|Chiller1
1	69.5			Chiller ECWT 		0	2011-05-05 13:59:14.740		239753	EMSL|Chiller2
1	69.3			Chiller ECWT 		0	2011-05-05 13:54:14.737		238903	EMSL|Chiller2
1	69.5			Chiller ECWT 		0	2011-05-05 13:58:44.737		239651	EMSL|Chiller1
1	69.9			Chiller ECWT 		0	2011-05-05 13:50:14.727		238257	EMSL|Chiller4
1	69.9			Chiller ECWT 		0	2011-05-05 13:58:44.737		239702	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 14:04:44.743		240688	EMSL|Chiller2
1	69.7			Chiller ECWT 		0	2011-05-05 14:02:14.747		240297	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 13:38:44.730		236251	EMSL|Chiller1
1	69.5			Chiller ECWT 		0	2011-05-05 13:48:14.733		237866	EMSL|Chiller1
1	69			Chiller ECWT 		0	2011-05-05 13:48:44.710		237951	EMSL|Chiller1
1	69.2			Chiller ECWT 		0	2011-05-05 14:03:44.723		240501	EMSL|Chiller1
1	69.5			Chiller ECWT 		0	2011-05-05 13:56:44.743		239311	EMSL|Chiller1
1	69.5			Chiller ECWT 		0	2011-05-05 13:59:44.737		239838	EMSL|Chiller2
1	69.3			Chiller ECWT 		0	2011-05-05 13:38:14.727		236166	EMSL|Chiller1
1	70			Chiller ECWT 		0	2011-05-05 13:57:44.730		239532	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 13:57:44.730		239481	EMSL|Chiller1
1	69.59			Chiller ECWT 		0	2011-05-05 13:47:14.750		237713	EMSL|Chiller2
1	69.3			Chiller ECWT 		0	2011-05-05 13:51:14.730		238376	EMSL|Chiller1
1	69.8			Chiller ECWT 		0	2011-05-05 13:51:14.730		238427	EMSL|Chiller4
1	68.5			Chiller ECWT 		0	2011-05-05 13:40:44.740		236608	EMSL|Chiller2
1	69.6			Chiller ECWT 		0	2011-05-05 14:02:44.727		240382	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 13:49:14.710		238053	EMSL|Chiller2
1	70			Chiller ECWT 		0	2011-05-05 13:47:14.750		237747	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 13:42:44.730		236931	EMSL|Chiller1
1	69.5			Chiller ECWT 		0	2011-05-05 13:59:14.740		239736	EMSL|Chiller1
1	70.1			Chiller ECWT 		0	2011-05-05 13:56:14.730		239277	EMSL|Chiller4
1	69.2			Chiller ECWT 		0	2011-05-05 14:01:44.747		240178	EMSL|Chiller2
1	69.2			Chiller ECWT 		0	2011-05-05 13:42:44.730		236948	EMSL|Chiller2
1	68.8			Chiller ECWT 		0	2011-05-05 13:54:44.740		238971	EMSL|Chiller1
1	69.8			Chiller ECWT 		0	2011-05-05 13:48:44.710		238002	EMSL|Chiller4
1	69.5			Chiller ECWT 		0	2011-05-05 13:38:44.730		236268	EMSL|Chiller2
1	69.9			Chiller ECWT 		0	2011-05-05 13:46:14.740		237577	EMSL|Chiller4
1	69.3			Chiller ECWT 		0	2011-05-05 13:47:44.757		237798	EMSL|Chiller2
1	69.3			Chiller ECWT 		0	2011-05-05 13:50:44.733		238291	EMSL|Chiller1
1	69.9			Chiller ECWT 		0	2011-05-05 13:43:14.727		237067	EMSL|Chiller4
1	69.59			Chiller ECWT 		0	2011-05-05 13:44:44.730		237288	EMSL|Chiller2
1	70.3			Chiller ECWT 		0	2011-05-05 13:46:14.740		237526	EMSL|Chiller1
1	69.2			Chiller ECWT 		0	2011-05-05 13:54:14.737		238886	EMSL|Chiller1
1	68.5			Chiller ECWT 		0	2011-05-05 13:39:44.740		236438	EMSL|Chiller2
1	69			Chiller ECWT 		0	2011-05-05 13:49:14.710		238036	EMSL|Chiller1
