0 0
30 0
60 0
90 0
120 0
150 2
180 2
210 3
240 3
270 0
300 0
330 0
360 0
390 0
420 0
450 0
480 0
510 0
540 0
570 0
600 3
630 3
660 0
690 3
720 0
750 0
780 2
810 2
840 2
870 2
900 2
930 2
960 0
990 0
1020 0
1050 0
1080 0
1110 0
1140 0
1170 1
1200 0
1230 0
1260 0
1290 1
1320 0
1350 0
1380 2
1410 2
1440 2
1470 2
1500 0
1530 0
1560 2
1590 3
1620 2
1650 2
1680 0
1710 0
1740 0
1770 0
1800 2
1830 2
1860 0
1890 3
1920 0
1950 0
1980 0
2010 0
2040 0
2070 0
2100 0
2130 0
2160 3
2190 0
2220 3
2250 3
2280 3
2310 0
2340 3
2370 3
2400 3
2430 3
2460 3
2490 3
2520 0
2550 0
2580 2
2610 2
2640 0
2670 0
2700 0
2730 0
2760 3
2790 3
2820 0
2850 3
2880 2
2910 2
2940 0
2970 0
3000 0
3030 0
3060 2
3090 2
3120 3
3150 3
