###############################################################################
## t01KW
###############################################################################
156.48 171.38 208.24 t01_SEC_0
156.48 171.38 208.24 t01_SEC_30
156.48 171.38 205.06 t01_SEC_60
156.48 171.38 198.7 t01_SEC_90
156.48 168.9 204.26 t01_SEC_120
156.48 168.9 205.85 t01_SEC_150
156.48 168.9 205.85 t01_SEC_180
156.48 168.9 209.03 t01_SEC_210
156.48 168.9 209.03 t01_SEC_240
156.48 168.9 204.26 t01_SEC_270
156.48 168.9 204.26 t01_SEC_300
156.48 168.9 212.21 t01_SEC_330
161.44 168.9 210.62 t01_SEC_360
161.44 168.9 219.37 t01_SEC_390
161.44 171.38 219.37 t01_SEC_420
161.44 171.38 210.62 t01_SEC_450
161.44 171.38 209.03 t01_SEC_480
161.44 171.38 214.6 t01_SEC_510
###############################################################################
## t02KW
###############################################################################
161.44 171.38 213.8 t02_SEC_0
161.44 171.38 213.8 t02_SEC_30
161.44 171.38 215.39 t02_SEC_60
156.48 171.38 217.78 t02_SEC_90
156.48 171.38 212.21 t02_SEC_120
156.48 171.38 206.65 t02_SEC_150
156.48 171.38 215.39 t02_SEC_180
156.48 168.9 205.06 t02_SEC_210
156.48 168.9 201.88 t02_SEC_240
156.48 168.9 201.09 t02_SEC_270
156.48 168.9 200.29 t02_SEC_300
156.48 168.9 204.26 t02_SEC_330
156.48 168.9 212.21 t02_SEC_360
156.48 168.9 211.42 t02_SEC_390
156.48 168.9 205.06 t02_SEC_420
156.48 168.9 210.62 t02_SEC_450
156.48 168.9 210.62 t02_SEC_480
156.48 163.93 207.44 t02_SEC_510
###############################################################################
## t03KW
###############################################################################
156.48 163.93 220.16 t03_SEC_0
156.48 163.93 216.19 t03_SEC_30
156.48 163.93 218.57 t03_SEC_60
156.48 163.93 209.03 t03_SEC_90
156.48 163.93 214.6 t03_SEC_120
158.96 163.93 206.65 t03_SEC_150
158.96 163.93 213.8 t03_SEC_180
158.96 163.93 216.19 t03_SEC_210
158.96 163.93 207.44 t03_SEC_240
158.96 163.93 207.44 t03_SEC_270
158.96 163.93 211.42 t03_SEC_300
158.96 163.93 210.62 t03_SEC_330
158.96 163.93 215.39 t03_SEC_360
158.96 163.93 215.39 t03_SEC_390
158.96 163.93 209.83 t03_SEC_420
158.96 163.93 204.26 t03_SEC_450
158.96 163.93 204.26 t03_SEC_480
158.96 163.93 201.88 t03_SEC_510
